"woningtype";"perioden";"regio";"aantal";"vraagprijs"
"Totaal";"2015 december";"Amsterdam";"2700";"354000"
"Totaal";"2016 januari";"Amsterdam";"2900";"355000"
"Totaal";"2016 februari";"Amsterdam";"2900";"367000"
"Totaal";"2016 maart";"Amsterdam";"2800";"375000"
"Totaal";"2016 april";"Amsterdam";"2800";"381000"
"Totaal";"2016 mei";"Amsterdam";"2500";"400000"
"Totaal";"2016 juni";"Amsterdam";"2700";"407000"
"Totaal";"2016 juli";"Amsterdam";"2400";"413000"
"Totaal";"2016 augustus";"Amsterdam";"2100";"413000"
"Totaal";"2016 september";"Amsterdam";"2100";"438000"
"Totaal";"2016 oktober";"Amsterdam";"1900";"462000"
"Totaal";"2016 november";"Amsterdam";"2000";"464000"
"Totaal";"2016 december";"Amsterdam";"1800";"481000"
"Totaal";"2015 december";"'s-Gravenhage (gemeente)";"3800";"245000"
"Totaal";"2016 januari";"'s-Gravenhage (gemeente)";"3500";"247000"
"Totaal";"2016 februari";"'s-Gravenhage (gemeente)";"3400";"251000"
"Totaal";"2016 maart";"'s-Gravenhage (gemeente)";"3300";"250000"
"Totaal";"2016 april";"'s-Gravenhage (gemeente)";"3200";"256000"
"Totaal";"2016 mei";"'s-Gravenhage (gemeente)";"3100";"262000"
"Totaal";"2016 juni";"'s-Gravenhage (gemeente)";"3100";"271000"
"Totaal";"2016 juli";"'s-Gravenhage (gemeente)";"2800";"269000"
"Totaal";"2016 augustus";"'s-Gravenhage (gemeente)";"2600";"276000"
"Totaal";"2016 september";"'s-Gravenhage (gemeente)";"2700";"286000"
"Totaal";"2016 oktober";"'s-Gravenhage (gemeente)";"2600";"286000"
"Totaal";"2016 november";"'s-Gravenhage (gemeente)";"2600";"289000"
"Totaal";"2016 december";"'s-Gravenhage (gemeente)";"2500";"285000"
"Totaal";"2015 december";"Rotterdam";"4700";"199000"
"Totaal";"2016 januari";"Rotterdam";"4600";"199000"
"Totaal";"2016 februari";"Rotterdam";"4400";"200000"
"Totaal";"2016 maart";"Rotterdam";"4200";"202000"
"Totaal";"2016 april";"Rotterdam";"4100";"203000"
"Totaal";"2016 mei";"Rotterdam";"3700";"206000"
"Totaal";"2016 juni";"Rotterdam";"3900";"210000"
"Totaal";"2016 juli";"Rotterdam";"3600";"209000"
"Totaal";"2016 augustus";"Rotterdam";"3300";"210000"
"Totaal";"2016 september";"Rotterdam";"3500";"230000"
"Totaal";"2016 oktober";"Rotterdam";"3300";"232000"
"Totaal";"2016 november";"Rotterdam";"3200";"232000"
"Totaal";"2016 december";"Rotterdam";"3000";"234000"
"Totaal";"2015 december";"Utrecht (gemeente)";"1600";"263000"
"Totaal";"2016 januari";"Utrecht (gemeente)";"1400";"260000"
"Totaal";"2016 februari";"Utrecht (gemeente)";"1400";"265000"
"Totaal";"2016 maart";"Utrecht (gemeente)";"1300";"274000"
"Totaal";"2016 april";"Utrecht (gemeente)";"1300";"285000"
"Totaal";"2016 mei";"Utrecht (gemeente)";"1200";"295000"
"Totaal";"2016 juni";"Utrecht (gemeente)";"1200";"300000"
"Totaal";"2016 juli";"Utrecht (gemeente)";"1100";"306000"
"Totaal";"2016 augustus";"Utrecht (gemeente)";"1000";"304000"
"Totaal";"2016 september";"Utrecht (gemeente)";"1000";"309000"
"Totaal";"2016 oktober";"Utrecht (gemeente)";"1000";"328000"
"Totaal";"2016 november";"Utrecht (gemeente)";"1100";"331000"
"Totaal";"2016 december";"Utrecht (gemeente)";"900";"318000"
